customer_id,active,store_id,transaction_id,first_name,last_name,account_creation_date,email_address,street_address,district,city,country
1,1,1,76,MARY,SMITH,"2006-02-14 22:04:36",MARY.SMITH@sakilacustomer.org,"1913 Hanoi Way",Nagasaki,Sasebo,Japan
2,1,1,320,PATRICIA,JOHNSON,"2006-02-14 22:04:36",PATRICIA.JOHNSON@sakilacustomer.org,"1121 Loja Avenue",California,"San Bernardino","United States"
3,1,1,435,LINDA,WILLIAMS,"2006-02-14 22:04:36",LINDA.WILLIAMS@sakilacustomer.org,"692 Joliet Street",Attika,Athenai,Greece
4,1,2,1297,BARBARA,JONES,"2006-02-14 22:04:36",BARBARA.JONES@sakilacustomer.org,"1566 Inegl Manor",Mandalay,Myingyan,Myanmar
5,1,1,731,ELIZABETH,BROWN,"2006-02-14 22:04:36",ELIZABETH.BROWN@sakilacustomer.org,"53 Idfu Parkway",Nantou,Nantou,Taiwan
6,1,2,57,JENNIFER,DAVIS,"2006-02-14 22:04:36",JENNIFER.DAVIS@sakilacustomer.org,"1795 Santiago de Compostela Way",Texas,Laredo,"United States"
7,1,1,46,MARIA,MILLER,"2006-02-14 22:04:36",MARIA.MILLER@sakilacustomer.org,"900 Santiago de Compostela Parkway","Central Serbia",Kragujevac,Yugoslavia
8,1,2,866,SUSAN,WILSON,"2006-02-14 22:04:36",SUSAN.WILSON@sakilacustomer.org,"478 Joliet Way",Hamilton,Hamilton,"New Zealand"
9,1,2,350,MARGARET,MOORE,"2006-02-14 22:04:36",MARGARET.MOORE@sakilacustomer.org,"613 Korolev Drive",Masqat,Masqat,Oman
10,1,1,1140,DOROTHY,TAYLOR,"2006-02-14 22:04:36",DOROTHY.TAYLOR@sakilacustomer.org,"1531 Sal Drive",Esfahan,Esfahan,Iran
11,1,2,987,LISA,ANDERSON,"2006-02-14 22:04:36",LISA.ANDERSON@sakilacustomer.org,"1542 Tarlac Parkway",Kanagawa,Sagamihara,Japan
12,1,1,988,NANCY,THOMAS,"2006-02-14 22:04:36",NANCY.THOMAS@sakilacustomer.org,"808 Bhopal Manor",Haryana,"Yamuna Nagar",India
13,1,2,1933,KAREN,JACKSON,"2006-02-14 22:04:36",KAREN.JACKSON@sakilacustomer.org,"270 Amroha Parkway",Osmaniye,Osmaniye,Turkey
14,1,2,151,BETTY,WHITE,"2006-02-14 22:04:36",BETTY.WHITE@sakilacustomer.org,"770 Bydgoszcz Avenue",California,"Citrus Heights","United States"
15,1,1,2486,HELEN,HARRIS,"2006-02-14 22:04:36",HELEN.HARRIS@sakilacustomer.org,"419 Iligan Lane","Madhya Pradesh",Bhopal,India
16,0,2,335,SANDRA,MARTIN,"2006-02-14 22:04:36",SANDRA.MARTIN@sakilacustomer.org,"360 Toulouse Parkway",England,Southend-on-Sea,"United Kingdom"
17,1,1,287,DONNA,THOMPSON,"2006-02-14 22:04:36",DONNA.THOMPSON@sakilacustomer.org,"270 Toulon Boulevard",Kalmykia,Elista,"Russian Federation"
18,1,2,50,CAROL,GARCIA,"2006-02-14 22:04:36",CAROL.GARCIA@sakilacustomer.org,"320 Brest Avenue",Kaduna,Kaduna,Nigeria
19,1,1,18,RUTH,MARTINEZ,"2006-02-14 22:04:36",RUTH.MARTINEZ@sakilacustomer.org,"1417 Lancaster Avenue","Northern Cape",Kimberley,"South Africa"
20,1,2,202,SHARON,ROBINSON,"2006-02-14 22:04:36",SHARON.ROBINSON@sakilacustomer.org,"1688 Okara Way","Nothwest Border Prov",Mardan,Pakistan
21,1,1,260,MICHELLE,CLARK,"2006-02-14 22:04:36",MICHELLE.CLARK@sakilacustomer.org,"262 A Corua (La Corua) Parkway",Dhaka,Tangail,Bangladesh
22,1,1,370,LAURA,RODRIGUEZ,"2006-02-14 22:04:36",LAURA.RODRIGUEZ@sakilacustomer.org,"28 Charlotte Amalie Street",Rabat-Sal-Zammour-Z,Sal,Morocco
23,1,2,129,SARAH,LEWIS,"2006-02-14 22:04:36",SARAH.LEWIS@sakilacustomer.org,"1780 Hino Boulevard",Liepaja,Liepaja,Latvia
24,1,2,1007,KIMBERLY,LEE,"2006-02-14 22:04:36",KIMBERLY.LEE@sakilacustomer.org,"96 Tafuna Way",Crdoba,Crdoba,Argentina
25,1,1,90,DEBORAH,WALKER,"2006-02-14 22:04:36",DEBORAH.WALKER@sakilacustomer.org,"934 San Felipe de Puerto Plata Street",Sind,Shikarpur,Pakistan
26,1,2,796,JESSICA,HALL,"2006-02-14 22:04:36",JESSICA.HALL@sakilacustomer.org,"18 Duisburg Boulevard",,"Citt del Vaticano","Holy See (Vatican City State)"
27,1,2,787,SHIRLEY,ALLEN,"2006-02-14 22:04:36",SHIRLEY.ALLEN@sakilacustomer.org,"217 Botshabelo Place","Southern Mindanao",Davao,Philippines
28,1,1,388,CYNTHIA,YOUNG,"2006-02-14 22:04:36",CYNTHIA.YOUNG@sakilacustomer.org,"1425 Shikarpur Manor",Bihar,"Munger (Monghyr)",India
29,1,2,194,ANGELA,HERNANDEZ,"2006-02-14 22:04:36",ANGELA.HERNANDEZ@sakilacustomer.org,"786 Aurora Avenue",Yamaguchi,Shimonoseki,Japan
30,1,1,1874,MELISSA,KING,"2006-02-14 22:04:36",MELISSA.KING@sakilacustomer.org,"1668 Anpolis Street",Taipei,Lungtan,Taiwan
